home, away, result, us, B365, BW, IW, LB, PS, WH, VC
Liverpool, Swansea,H, 22.1320558344, 27.4018236351, 27.9422906421, 26.2805142193, 26.1500031064, 26.8936234644, 27.3321863277, 27.3484494816
Man United, Burnley,D, 21.7661640371, 27.0281972615, 27.5797906421, 26.0065416166, 25.728974431, 26.5075182012, 26.9865073154, 27.0351964696
Tottenham, Southampton,H, 22.2545603205, 27.6302442212, 28.1517960257, 26.553986872, 26.3226419772, 27.0759592658, 27.6212447649, 27.6372434292
Watford, Leicester,H, 22.0501224979, 27.5595371505, 28.06608174, 26.5019637507, 26.2412466283, 27.0145753373, 27.5620192524, 27.5585917438
West Brom, Everton,D, 21.9320714902, 27.9215281007, 28.0545874871, 26.8798707274, 26.2294819224, 27.0078863741, 27.9298353443, 27.550708861
Newcastle, Man City,A, 22.454115018, 28.5405757197, 28.6820006145, 27.4178454109, 26.8568950498, 27.6133645096, 28.571810653, 28.196703693
Crystal Palace, Arsenal,A, 22.2596825953, 28.9774689236, 29.1284291859, 27.8907518149, 27.2905685192, 28.0524360763, 29.0355787689, 28.6335968969
Bournemouth, Everton,H, 22.0701294877, 29.345066689, 29.4941434717, 27.8445090403, 27.6583846112, 28.4249635488, 29.0123229549, 29.0010801931
Chelsea, Stoke,H, 22.6761216404, 30.0080115599, 30.1752922198, 28.4719221677, 28.333791842, 29.1107755146, 29.6877301858, 29.6630739626
Liverpool, Leicester,H, 23.2801423758, 30.609104456, 30.7414423986, 29.0179972531, 28.9166139279, 29.6785431684, 30.2573504389, 30.2641668588
Man United, Southampton,D, 23.1664457447, 30.3884234977, 30.5009035917, 28.8209169611, 28.6353432462, 29.3959732695, 30.0313617384, 29.9743117863
Watford, Swansea,A, 22.8116333075, 30.0093841964, 30.1485576855, 28.5204243503, 28.2950390637, 29.0341774949, 29.7109733889, 29.6143117863
Crystal Palace, Man City,D, 22.438593203, 29.7697675829, 29.872241896, 28.2750255772, 28.0069504211, 28.7368027932, 29.4370007861, 29.3358307736
