Season, Home, Away, HG, AG, Result, Before: P[Home], Before: P[Draw], Before: P[Away], Before: Sum, After: P[Home], After: P[Draw], After: P[Away], After: Sum
14-15, Stoke, West Brom, 2, 0, H, 0.443616837, 0.359605058029, 0.196778104971, 1.0, 0.52707431145, 0.359605058029, 0.113320630521, 1.0
14-15, Tottenham, Man United, 0, 0, D, 0.256102140443, 0.387157341344, 0.356740518213, 1.0, 0.256102140443, 0.387157341344, 0.356740518213, 1.0
14-15, West Ham, Arsenal, 1, 2, A, 0.240193344488, 0.385573526678, 0.374233128834, 1.0, 0.177616657371, 0.385573526678, 0.436809815951, 1.0
14-15, Liverpool, Swansea, 4, 1, H, 0.485232067511, 0.35568057509, 0.1590873574, 1.0, 0.588185654009, 0.35568057509, 0.0561337709022, 1.0
14-15, Aston Villa, Crystal Palace, 0, 0, D, 0.359756097561, 0.365663109756, 0.274580792683, 1.0, 0.359756097561, 0.365663109756, 0.274580792683, 1.0
14-15, Hull, Everton, 2, 0, H, 0.260475651189, 0.374480936202, 0.365043412609, 1.0, 0.371404303511, 0.440160437901, 0.188435258589, 1.0
14-15, Liverpool, Leicester, 2, 2, D, 0.567561232861, 0.333294269307, 0.0991444978319, 1.0, 0.454221258643, 0.399964842376, 0.14581389898, 1.0
14-15, Man City, Sunderland, 3, 2, H, 0.637656004628, 0.300603355649, 0.0617406397223, 0.999999999999, 0.637656004628, 0.300603355649, 0.0617406397223, 0.999999999999
14-15, Newcastle, Burnley, 3, 3, D, 0.457643944408, 0.364659166115, 0.177696889477, 1.0, 0.349636002648, 0.428193249504, 0.222170747849, 1.0
14-15, QPR, Swansea, 1, 1, D, 0.2889485802, 0.376822716807, 0.334228702993, 1.0, 0.2889485802, 0.376822716807, 0.334228702993, 1.0
14-15, Southampton, Arsenal, 2, 0, H, 0.292766934558, 0.377344048986, 0.329889016456, 1.0, 0.398851894374, 0.442722923842, 0.158425181783, 1.0
14-15, Stoke, Man United, 1, 1, D, 0.210451727192, 0.364038972542, 0.425509300266, 1.0, 0.210451727192, 0.364038972542, 0.425509300266, 1.0
14-15, Tottenham, Chelsea, 5, 3, H, 0.180606464512, 0.359380206598, 0.46001332889, 1.0, 0.303515494835, 0.426645284905, 0.26983922026, 1.0
14-15, West Ham, West Brom, 1, 1, D, 0.447130938192, 0.364549633918, 0.18831942789, 1.0, 0.339104375958, 0.428094670526, 0.232800953516, 1.0
14-15, Burnley, QPR, 2, 1, H, 0.382028768915, 0.372127778816, 0.24584345227, 1.0, 0.443825892023, 0.416078834299, 0.140095273679, 1.0
14-15, Chelsea, Newcastle, 2, 0, H, 0.671029919448, 0.276898734177, 0.0520713463751, 1.0, 0.671029919448, 0.276898734177, 0.0520713463751, 1.0
14-15, Crystal Palace, Tottenham, 2, 1, H, 0.242659279778, 0.373407202216, 0.383933518006, 1.0, 0.3183933518, 0.417268698061, 0.264337950139, 1.0
14-15, Everton, Man City, 1, 1, D, 0.193609345473, 0.368665177805, 0.437725476722, 1.0, 0.274248410926, 0.412858615359, 0.312892973716, 1.0
14-15, Leicester, Aston Villa, 1, 0, H, 0.386656699682, 0.365165389647, 0.248177910671, 1.0, 0.447991029714, 0.409603812372, 0.142405157914, 1.0
14-15, Sunderland, Liverpool, 0, 1, A, 0.199548061881, 0.362245784808, 0.438206153311, 1.0, 0.199548061881, 0.362245784808, 0.438206153311, 1.0
14-15, Swansea, West Ham, 1, 1, D, 0.37117083255, 0.374365720729, 0.254463446721, 1.0, 0.37117083255, 0.374365720729, 0.254463446721, 1.0
14-15, West Brom, Hull, 1, 0, H, 0.425417339795, 0.354873451804, 0.219709208401, 1.0, 0.482875605816, 0.354873451804, 0.162250942381, 1.0
14-15, Arsenal, Stoke, 3, 0, H, 0.56515282762, 0.326197252815, 0.108649919564, 0.999999999999, 0.652122262096, 0.326197252815, 0.021680485088, 0.999999999999
14-15, Man United, Southampton, 0, 1, A, 0.456204379562, 0.362475116125, 0.181320504313, 1.0, 0.347825149303, 0.426227604513, 0.225947246184, 1.0
14-15, Aston Villa, Liverpool, 0, 2, A, 0.195289668214, 0.357572631941, 0.447137699845, 1.0, 0.195289668214, 0.357572631941, 0.447137699845, 1.0
14-15, Burnley, Crystal Palace, 2, 3, A, 0.345235822036, 0.368913500095, 0.285850677869, 1.0, 0.273820889823, 0.368913500095, 0.357265610082, 1.0
14-15, Leicester, Stoke, 0, 1, A, 0.326074388129, 0.373289651185, 0.300635960686, 1.0, 0.256137984198, 0.373289651185, 0.370572364617, 1.0
14-15, Newcastle, Southampton, 1, 2, A, 0.266843803378, 0.372176883659, 0.360979312963, 1.0, 0.202941734674, 0.372176883659, 0.424881381667, 1.0
14-15, QPR, Man United, 0, 2, A, 0.147802528597, 0.358669476219, 0.493527995184, 1.0, 0.147802528597, 0.358669476219, 0.493527995184, 1.0
14-15, Swansea, Chelsea, 0, 5, A, 0.129197181152, 0.328174658007, 0.54262816084, 0.999999999999, 0.129197181152, 0.328174658007, 0.54262816084, 0.999999999999
14-15, Tottenham, Sunderland, 2, 1, H, 0.507576872149, 0.351037222304, 0.141385905547, 1.0, 0.556819184934, 0.351037222304, 0.0921435927619, 1.0
14-15, Man City, Arsenal, 0, 2, A, 0.434351914036, 0.383814640698, 0.181833445265, 0.999999999999, 0.277224647414, 0.476242444593, 0.246532907992, 0.999999999999
14-15, West Ham, Hull, 3, 0, H, 0.48632218845, 0.345864661654, 0.167813149896, 1.0, 0.58905775076, 0.345864661654, 0.065077587586, 1.0
14-15, Everton, West Brom, 0, 0, D, 0.461164234189, 0.355141754739, 0.183694011072, 1.0, 0.351538332495, 0.419627579265, 0.22883408824, 1.0
14-15, Chelsea, Man City, 1, 1, D, 0.396429222081, 0.372927673529, 0.230643104391, 1.0, 0.396429222081, 0.372927673529, 0.230643104391, 1.0
14-15, Crystal Palace, Everton, 0, 1, A, 0.313030069391, 0.369892058597, 0.317077872012, 1.0, 0.244737856592, 0.369892058597, 0.385370084811, 1.0
14-15, Hull, Newcastle, 0, 3, A, 0.327626010004, 0.367064255483, 0.305309734513, 1.0, 0.188687956907, 0.367064255483, 0.44424778761, 1.0
14-15, Liverpool, West Ham, 2, 0, H, 0.489990760702, 0.355712965815, 0.154296273483, 1.0, 0.566492146597, 0.355712965815, 0.0777948875883, 1.0
14-15, Man United, Leicester, 3, 1, H, 0.589650379557, 0.323746391532, 0.0866032289105, 0.999999999999, 0.651202822623, 0.323746391532, 0.025050785844, 0.999999999999
14-15, Stoke, QPR, 3, 1, H, 0.500919399326, 0.345694146491, 0.153386454183, 1.0, 0.575781489427, 0.345694146491, 0.0785243640819, 1.0
14-15, Sunderland, Burnley, 2, 0, H, 0.391531430703, 0.361313187838, 0.247155381459, 1.0, 0.482801716098, 0.428375303115, 0.0888229807874, 1.0
14-15, West Brom, Tottenham, 0, 3, A, 0.301216451052, 0.370921027225, 0.327862521722, 0.999999999999, 0.166788955396, 0.370921027225, 0.462290017378, 0.999999999999
14-15, Arsenal, Aston Villa, 5, 0, H, 0.639171758316, 0.296249151392, 0.0645790902919, 1.0, 0.639171758316, 0.296249151392, 0.0645790902919, 1.0
14-15, Southampton, Swansea, 0, 1, A, 0.526606571678, 0.332073277115, 0.141320151207, 1.0, 0.413059028788, 0.398865949404, 0.188075021809, 1.0
14-15, Aston Villa, Chelsea, 1, 2, A, 0.0867395689564, 0.303853912305, 0.609406518739, 1.0, 0.0867395689564, 0.303853912305, 0.609406518739, 1.0
14-15, Everton, Liverpool, 0, 0, D, 0.256891055691, 0.376336021001, 0.366772923308, 1.0, 0.256891055691, 0.376336021001, 0.366772923308, 1.0
14-15, Leicester, Crystal Palace, 0, 1, A, 0.355987055016, 0.371977917381, 0.272035027603, 1.0, 0.283190557776, 0.371977917381, 0.344831524843, 1.0
14-15, Man City, Hull, 1, 1, D, 0.667991230474, 0.282954234037, 0.0490545354892, 1.0, 0.54609345026, 0.354658810633, 0.0992477391066, 1.0
14-15, QPR, Southampton, 0, 1, A, 0.191053440328, 0.358203858631, 0.450742701041, 1.0, 0.191053440328, 0.358203858631, 0.450742701041, 1.0
14-15, Swansea, Sunderland, 1, 1, D, 0.449844344517, 0.351608439986, 0.198547215496, 0.999999999999, 0.339617779315, 0.416447595987, 0.243934624697, 0.999999999999
14-15, Tottenham, Arsenal, 2, 1, H, 0.258679245283, 0.381886792453, 0.359433962264, 1.0, 0.332811320755, 0.425154716981, 0.242033962264, 1.0
14-15, Burnley, West Brom, 2, 2, D, 0.33057373893, 0.370234886407, 0.299191374663, 1.0, 0.33057373893, 0.370234886407, 0.299191374663, 1.0
14-15, Newcastle, Stoke, 1, 1, D, 0.368262344516, 0.372031662269, 0.259705993215, 1.0, 0.368262344516, 0.372031662269, 0.259705993215, 1.0
14-15, West Ham, Man United, 1, 1, D, 0.208910188143, 0.367767128151, 0.423322683706, 1.0, 0.208910188143, 0.367767128151, 0.423322683706, 1.0
14-15, Arsenal, Leicester, 2, 1, H, 0.618149565867, 0.309401549809, 0.0724488843245, 1.0, 0.618149565867, 0.309401549809, 0.0724488843245, 1.0
14-15, Hull, Aston Villa, 2, 0, H, 0.386556204105, 0.351346262474, 0.262097533421, 1.0, 0.478572773489, 0.419454904914, 0.101972321597, 1.0
14-15, Liverpool, Tottenham, 3, 2, H, 0.422410807066, 0.379113266366, 0.198475926567, 0.999999999999, 0.480169726359, 0.379113266366, 0.140717007274, 0.999999999999
14-15, Sunderland, QPR, 0, 2, A, 0.443758573388, 0.360768175583, 0.195473251029, 1.0, 0.280754458162, 0.456652949246, 0.262592592593, 1.0
14-15, Chelsea, Everton, 1, 0, H, 0.598133748056, 0.319129082426, 0.0827371695179, 1.0, 0.63832037325, 0.319129082426, 0.0425505443235, 1.0
14-15, Crystal Palace, Newcastle, 1, 1, D, 0.361248572516, 0.3701941378, 0.268557289684, 1.0, 0.361248572516, 0.3701941378, 0.268557289684, 1.0
14-15, Man United, Burnley, 3, 1, H, 0.602393360355, 0.322621115615, 0.0749855240301, 1.0, 0.602393360355, 0.322621115615, 0.0749855240301, 1.0
14-15, Southampton, West Ham, 0, 0, D, 0.475365109934, 0.358690418873, 0.165944471192, 0.999999999999, 0.366342481142, 0.422821376986, 0.210836141871, 0.999999999999
